Date,Tokino Sora,Roboco,Sakura Miko,Hoshimachi Suisei,AZKi,Yozora Mel,Aki Rosenthal,Akai Haato,Shirakami Fubuki,Natsuiro Matsuri,Minato Aqua,Murasaki Shion,Nakiri Ayame,Yuzuki Choco,Oozora Subaru,Ookami Mio,Nekomata Okayu,Inugami Korone,Houshou Marine,Uruha Rushia,Usada Pekora,Shiranui Flare,Shirogane Noel,Tsunomaki Watame,Tokoyami Towa,Kiryu Coco,Amane Kanata,Himemori Luna,Yukihana Lamy,Momosuzu Nene,Shishiro Botan,Omaru Polka,Watson Amelia,Ninomae Ina'nis,Gawr Gura,Mori Calliope,Takanashi Kiara,IRyS,Hakos Baelz,Ouro Kronii,Ceres Fauna,Tsukumo Sana,Nanashi Mumei,Moona Hoshinova,Ayunda Risu,Airani Iofifteen,Pavolia Reine,Kureiji Ollie,Anya Melfissa
2021-04-14,45542456,30725504,73274325,75713627,15728461,9226395,16137208,105878492,150326400,50235817,114825341,52601788,25804701,13326974,50945438,39782336,82555817,117531944,149222521,67828619,158903626,41396475,59558366,69077686,35760730,122767497,80773270,24822141,37405571,28357897,51131169,51161768,55457937,37069205,96832506,93250939,46721129,0,0,0,0,0,0,22780010,25413362,8723121,11035666,14448658,4433439
2021-04-13,45391447,30707313,73027963,74931433,15675843,9181714,16128044,105783664,150206377,50114864,114721194,52538429,25779159,13309642,50738957,39645676,82270931,116907672,148776889,67722737,158524969,41203057,59326848,68939091,35623263,122447180,79848862,24755009,37342078,27973378,50864011,51082163,55334998,37024269,96693619,92398181,46631528,0,0,0,0,0,0,22551854,25352078,8713910,10989631,14251492,4406981
2021-04-12,45391447,30707313,73027963,74931433,15675843,9181714,16128044,105783664,150206377,50114864,114721194,52538429,25779159,13309642,50738957,39645676,82270931,116907672,148776889,67722737,158524969,41203057,59326848,68939091,35623263,122447180,79848862,24755009,37342078,27973378,50864011,51082163,55334998,37024269,96693619,92099124,46631528,0,0,0,0,0,0,22551854,25352078,8713910,10989631,14251492,4406981
2021-04-11,45204929,30560234,72717326,74508718,15485927,9094629,16051893,105580817,149513078,51552820,114481010,52408702,25715107,13145151,50558929,39366597,81837094,115480978,147796230,67233546,157037443,40931751,58314630,68575074,35479751,121432220,79477576,24357417,36836245,27673045,50524293,50832060,55256640,36754889,95983710,91626876,46341672,0,0,0,0,0,0,22356686,25253280,8616126,10942672,14198712,4397396
2021-04-10,45085867,30453172,72485827,74356606,15468410,9083957,16004887,105481951,149258119,51279693,114356185,52337690,25686211,13112242,50162660,39170243,81663133,114955672,147189612,66807542,156827892,40887127,58178872,68375700,35244931,120922073,79339069,24280650,36705252,27513776,50216544,50759956,55061311,36689613,95653660,90836630,46200752,0,0,0,0,0,0,22333017,25096661,8591371,10850795,14134289,4377055
2021-04-09,44989862,30358864,72128596,74194371,15426675,9072382,15988244,105380595,148844624,51091197,114226969,52264158,25651463,13044499,49906665,39045183,81332669,114484955,146990442,66449406,156191888,40761495,57739124,68203984,35118136,120585585,78955679,24093432,36469886,27493542,49918400,50599087,54893485,36480110,95094118,90255445,46015660,0,0,0,0,0,0,22303724,25024002,8584047,10775375,14109674,4316625
2021-04-08,44921807,30297258,71934205,73945216,15409427,9060484,15936614,105271570,148589533,50914213,114090398,52190710,25545030,13036338,49629026,38920065,81046925,114194285,146488303,66112678,155792359,40504142,57409452,68000928,35039790,120119920,78816435,23885116,36164216,27471873,49826285,50464363,54438271,36274819,94647381,89480322,45755109,0,0,0,0,0,0,22225073,24953893,8576442,10707658,14072287,4290190
2021-04-07,44850698,30276171,71717915,73770253,15390568,9048725,15924138,105062530,148328607,50762635,113946380,52067485,25375555,13027657,49522280,38821303,80851217,114090904,146146836,65800185,155169933,40414313,57073156,67831336,34837940,119871309,78390806,23606019,35877792,27342544,49577158,50309329,54193877,36119616,94126476,88598128,45663500,0,0,0,0,0,0,22102188,24841956,8552057,10667074,13942531,4309670
2021-04-06,44850698,30276171,71717915,73770253,15390568,9048725,15924138,105062530,148328607,50762635,113946380,52067485,25375555,13027657,49522280,38821303,80851217,114090904,146146836,65800185,155169933,40414313,57073156,67831336,34837940,119871309,78390806,23606019,35877792,27342544,49577158,50309329,54193877,36119616,94126476,87597834,45663500,0,0,0,0,0,0,22102188,24841956,8552057,10667074,13942531,4309670
2021-04-05,44609227,30063066,71060529,73120522,15344437,9018509,15890338,104268654,147991797,50153924,113274397,51712820,24913032,12992516,48962334,38646746,80134204,113623117,144989908,65106372,154212320,40047099,56167029,67307170,34441694,119215111,77460117,23293473,34731887,27120024,49027409,50044319,53851656,35873361,93840223,86710581,45246247,0,0,0,0,0,0,21894028,24643270,8506055,10537665,13683254,4244038
2021-04-04,44555029,29939968,71016111,72785677,15328214,8927903,15801260,103874460,147786266,49909405,112885324,51641621,24833530,12937850,48598429,38602332,79794900,113512976,144861051,64613465,153415558,39958450,55945302,67163482,34374552,118706861,77282241,22989164,34600183,27097045,48695389,49969137,53783066,35838123,92963052,85386502,44975688,0,0,0,0,0,0,21854322,24578519,8500776,10501447,13634420,4240028
2021-04-03,44381921,29919633,70958218,72590253,15262256,8915586,15791077,103704697,147455361,49698239,112244389,51545516,24460425,12892933,48365407,38541411,79593428,113275152,144685499,64280938,152693568,39824860,55440215,66874570,34169076,118497129,76876284,22728933,34438329,26971122,48411267,49744563,53543501,35787139,92668892,85345577,44755839,0,0,0,0,0,0,21797027,24482593,8469552,10407595,13564750,4219791
2021-04-02,44225364,29857419,70901737,72212019,15241675,8904068,15782429,103206395,147208866,49371989,111851900,51481706,24431642,12885050,48259477,38377994,79340013,112959762,144522844,63721970,151761528,39496425,55355614,66689619,34073856,118437026,76447856,22529128,34186678,26863917,48167426,49607644,53306816,35730677,92531073,84943674,44479335,0,0,0,0,0,0,21609186,24380566,8460895,10324302,13543867,4194411
2021-04-01,44150940,29793598,70842040,71905264,15299168,8893095,15773999,102816634,146899080,49048280,111709161,51348289,24402977,12877081,47991246,38232620,79161377,112438668,144358964,62786977,150678261,39384216,55171420,66379232,33974916,118354425,76248329,22374210,33784666,26832505,48120542,49428639,53094309,35435080,92132594,83831807,44048536,0,0,0,0,0,0,21363468,24254109,8451086,10248189,13518538,4165165
2021-03-31,44023007,29768915,70750375,71540441,15275454,8880210,15763625,103693195,146762791,48680077,111514509,51142376,24365187,12868152,47741171,38069424,78955316,112149073,144161143,62654229,149955270,39264088,55080152,66060096,33790558,118166772,75971689,22252148,33716465,26713896,48056116,49229053,52893886,35380940,91679310,83354790,43948228,0,0,0,0,0,0,21332098,24228333,8426823,10147600,13479460,4160385
2021-03-30,43742924,29620906,70784734,71025271,15224434,8852877,15737804,102465493,146193937,48091189,110693980,50696508,24234624,12848388,47566550,37800336,78206797,111739653,143594188,62188316,149215808,39085000,54521682,65663792,33521224,117628218,75300111,21925971,33118430,26558449,47695116,48840609,52827328,35160484,91437449,82598808,43634574,0,0,0,0,0,0,21206598,24106468,8384183,10003570,13147682,4107457
2021-03-29,43661216,29555552,70078037,70830226,15188072,8837338,15720281,89784618,145679367,47809076,110267684,50607232,23990087,12802602,47388349,37653734,77924072,111310745,143237020,61851651,148597404,38992427,54303655,65393964,33422238,117086545,75200112,21557425,32965728,26536969,47547403,48590683,52792140,35095961,91312804,82598808,43505773,0,0,0,0,0,0,21169816,24074516,8346476,9975514,13123760,4103605
2021-03-28,43236050,29311171,68859959,69682059,15155525,8742107,15454146,93126321,144435381,47224790,108470315,50049936,23684070,12722983,46314885,37104173,76681073,109947926,140316692,60912834,146020851,38640946,53506522,64538610,32845714,116346542,74295716,20649972,32232146,26300216,46786605,48079647,52448372,34089050,89957037,80911653,42787736,0,0,0,0,0,0,20720979,23633264,8190358,9667413,12878740,4038796
2021-03-27,43089445,29175564,68729417,69397583,15291014,8723727,15360499,93045389,143976378,47017868,107755024,49848102,23657214,12711460,46115808,36990354,76409942,109819187,139657329,60690155,145389247,38460396,53417539,64422540,32572063,116132702,74094961,20528186,32039979,26171142,46629326,47874565,52405065,34041869,89828974,80382682,42545341,0,0,0,0,0,0,20608140,23501134,8181979,9590909,12745414,4035858
